Time,Cumulative Arrivals
11:02,0
11:17,1
11:19,2
11:20,3
11:21,4
11:21,5
11:22,6
11:22,7
11:26,8
11:28,9
11:30,10
11:31,11
11:31,12
11:31,13
11:33,14
11:36,15
11:37,16
11:40,17
12:00,18
12:01,19
12:01,20
12:02,21
12:03,22
12:04,23
12:05,24
12:06,25
12:06,26
12:09,27
12:09,28
12:09,29
12:12,30
12:17,31
12:20,32
12:20,33
12:20,34
12:23,35
12:24,36
12:26,37
12:27,38
12:27,39
12:37,40
12:58,41
12:59,42
12:59,43
13:03,44
13:06,45
13:07,46
13:08,47
13:13,48
